nomor,nama,keahlian 1,keahlian 2,lokasi
"172,Perkumpulan Untuk Peningkatan Usaha Kecil (PUPUK) Surabaya,Pengembangan Masyarakat,Pengembangan Anak Muda,""Kota Surabaya, Jawa Timur"""
"173,SalingSapa,Kepemimpinan & Organisasi,Pengembangan Anak Muda,""Kota Depok, Jawa Barat"""
"174,Yatim Mandiri Kudus,Pendidikan,Pengembangan Masyarakat,""Kabupaten Kudus, Jawa Tengah"""
"175,Abdikari,Pengembangan Anak Muda,Pusat Informasi dan Kajian,""Kabupaten Purwakarta, Jawa Barat"""
"176,Ikatan Persaudaraan Blitar Peduli,Kepemimpinan & Organisasi,Pengembangan Masyarakat,""Kabupaten Blitar, Jawa Timur"""
"177,ME Indonesia,Kesehatan,Pengembangan Anak Muda,""Kota Ambon, Maluku"""
"178,Pemuda panca marga,Kesehatan,Kepemimpinan & Organisasi,""Kota Bandung, Jawa Barat"""
"179,YAYASAN PINTAR PEMERSATU BANGSA,Pengembangan Masyarakat,Pendidikan,""Kota Depok, Jawa Barat"""
"180,Ikatan Pemuda Pemudi Enam Tujuh,Difabilitas/Disabilitas,Lingkungan,""Kabupaten Tegal, Jawa Tengah"""
"181,Yayasan Kiyai Mojo,Pendidikan,Pertanian,""Kabupaten Jombang, Jawa Timur"""
"182,Keanekaragaman Hayati Indonesia,Kesejahteraan Hewan,Lingkungan,""Kota Probolinggo, Jawa Timur"""
"183,Donasi Barang,Pengembangan Masyarakat,Difabilitas/Disabilitas,""Kota Bekasi, Jawa Barat"""
"184,Sedekah ngider indonesia,Pengembangan Masyarakat,Pengembangan Anak Muda,""Kota Administrasi Jakarta Timur, DKI Jakarta"""
"185,META FOREST SOCIETY,Pertanian,Sains dan Teknologi,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"186,Pondok Riyadhoh Kalam Syifa Banten Indonesi,Pengembangan Masyarakat,Pendidikan,""Kabupaten Lebak, Banten"""
"187,Bontang Youth Spirit,Pengembangan Anak Muda,Kepemimpinan & Organisasi,""Kota Bontang, Kalimantan Timur"""
"188,Life with Peksos,Pengembangan Masyarakat,Pengembangan Anak Muda,""Kota Bandung, Jawa Barat"""
"189,SEBUMI BERBAGI,Lingkungan,Pengembangan Masyarakat,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"190,Share Love Lombok,Pendidikan,Penanggulangan Bencana,""Kabupaten Lombok Utara, Nusa Tenggara Barat"""
"191,World Voice International,Hak Asasi Manusia,Kepemimpinan & Organisasi,""Kabupaten Aceh Barat, Aceh"""
"192,Kecamatan Wanaraja,Kepemimpinan & Organisasi,Pengembangan Masyarakat,""Kabupaten Garut, Jawa Barat"""
"193,Komunitas Nakes,Kesehatan,Pendidikan,""Kota Surabaya, Jawa Timur"""
"194,HEP INDONESIA,Kesehatan,Pengembangan Masyarakat,""Kota Pekanbaru, Riau"""
"195,Anatomy of She,Kesetaraan Gender,Kesetaraan Gender,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"196,Sahabat Juara Berbagi,Kepemimpinan & Organisasi,Pengembangan Masyarakat,""Kota Depok, Jawa Barat"""
"197,AI4IMPACT,Pengembangan Anak Muda,Sains dan Teknologi,""Kota Depok, Jawa Barat"""
"198,Ulu Street Dogs,Kesejahteraan Hewan,Pendidikan,""Kabupaten Badung, Bali"""
"199,the.goodsociety,Pendidikan,Pengembangan Anak Muda,""Kabupaten Bekasi, Jawa Barat"""
"200,Yayasan Penabulu,Kepemimpinan & Organisasi,Kepemimpinan & Organisasi,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"201,Language Focus,Ketenagakerjaan,Pendidikan,""Kota Bogor, Jawa Barat"""
"202,Mitra Rencana Edukasi,Pendidikan,Ketenagakerjaan,""Kota Administrasi Jakarta Pusat, DKI Jakarta"""
"203,Komunitas Muda Inspiratif,Pendidikan,Kepemimpinan & Organisasi,""Kota Malang, Jawa Timur"""
"204,Basecamp Solidaritas Indonesia,Penanggulangan Bencana,Kepemimpinan & Organisasi,""Kota Langsa, Aceh"""
"205,Street Feeding Diary,Kesejahteraan Hewan,Kesejahteraan Hewan,""Kota Tangerang, Banten"""
"206,Guide English Institute,Pendidikan,Pengembangan Masyarakat,""Kota Semarang, Jawa Tengah"""
"207,Citizen OS Indonesia,Hak Asasi Manusia,Pengembangan Masyarakat,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"208,PONPES DAARUL HUDA,Pendidikan,Pengembangan Masyarakat,""Kabupaten Sukoharjo, Jawa Tengah"""
"209,Parenting is Easy,Pendidikan,Lingkungan,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"210,KAWAN BUDAYA NUSANTARA,Seni dan Budaya,Kepemimpinan & Organisasi,""Kota Tangerang Selatan, Banten"""
"211,Law For Dedication Himpunan Mahasiswa Jurusan Hukum Unesa,Lingkungan,Pengembangan Masyarakat,""Kota Surabaya, Jawa Timur"""
"212,Senior Madani Indonesia,Kesehatan,Pendidikan,""Kabupaten Sleman, Yogyakarta"""
"213,kreasi cipta muda berkaya,Pendidikan,Pengembangan Anak Muda,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"214,KOMUNITAS PEDULI ANTAR SESAMA,Pendidikan,Pengembangan Masyarakat,""Kabupaten Bekasi, Jawa Barat"""
"215,Do Something Indonesia,Pengembangan Anak Muda,Lingkungan,""Kota Administrasi Jakarta Barat, DKI Jakarta"""
"216,Dampak Sosial Indonesia,Pendidikan,Pengembangan Masyarakat,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"217,YAPPIKA-ActionAid,Pengembangan Masyarakat,Pendidikan,""Kota Administrasi Jakarta Timur, DKI Jakarta"""
"218,Komunitas Celebes Bergerak,Penanggulangan Bencana,Lingkungan,""Kota Palu, Sulawesi Tengah"""
"219,PIKR Sejahtera Krecek,Kesehatan,Pengembangan Anak Muda,""Kabupaten Kediri, Jawa Timur"""
"220,Gerakan Sukabumi Mengajar,Pendidikan,Pengembangan Masyarakat,""Kabupaten Sukabumi, Jawa Barat"""
"221,Amnesty International Local Chapter Universitas Diponegoro,Hak Asasi Manusia,Kesetaraan Gender,""Kota Semarang, Jawa Tengah"""
"222,SDIT AL HUDA BAWEAN,Kepemimpinan & Organisasi,Kepemimpinan & Organisasi,""Kabupaten Gresik, Jawa Timur"""
"223,Yayasan Bina Bakti Teknologi,Pendidikan,Pengembangan Masyarakat,""Kota Depok, Jawa Barat"""
"224,Persaudaraan PENA Kota Tangerang,Kepemimpinan & Organisasi,Seni dan Budaya,""Kota Tangerang, Banten"""
